Day,Total,East,West
Monday,2093.153846153846,820.8076923076923,1272.3461538461538
Tuesday,2579.9615384615386,983.8269230769231,1596.1346153846155
Wednesday,2538.4615384615386,971.5769230769231,1566.8846153846155
Thursday,2406.7115384615386,926.5961538461538,1480.1153846153845
Friday,2087.4423076923076,843.5384615384615,1243.9038461538462
Saturday,1929.9622641509434,843.9245283018868,1086.0377358490566
Sunday,1664.4423076923076,771.5769230769231,892.8653846153846
